comparison,lhs,rhs,metric,n_pairs,mean_delta,median_delta,min_delta,max_delta
C2_vs_C1_normalization,C2_AutoScanning,C1_NonBlockingScanning,pipeline_time_seconds,0,0.0,0.0,0.0,0.0
C2_vs_C1_normalization,C2_AutoScanning,C1_NonBlockingScanning,finding_count_residual,0,0.0,0.0,0.0,0.0
C2_vs_C1_normalization,C2_AutoScanning,C1_NonBlockingScanning,recall,0,0.0,0.0,0.0,0.0
C2_vs_C1_normalization,C2_AutoScanning,C1_NonBlockingScanning,precision,0,0.0,0.0,0.0,0.0
C2_vs_C1_normalization,C2_AutoScanning,C1_NonBlockingScanning,auto_remediation_rate,0,0.0,0.0,0.0,0.0
C2_vs_C1_normalization,C2_AutoScanning,C1_NonBlockingScanning,pipeline_success,0,0.0,0.0,0.0,0.0
C3_vs_C2_policy_only,C3_PolicyOnly,C2_AutoScanning,pipeline_time_seconds,0,0.0,0.0,0.0,0.0
C3_vs_C2_policy_only,C3_PolicyOnly,C2_AutoScanning,finding_count_residual,0,0.0,0.0,0.0,0.0
C3_vs_C2_policy_only,C3_PolicyOnly,C2_AutoScanning,recall,0,0.0,0.0,0.0,0.0
C3_vs_C2_policy_only,C3_PolicyOnly,C2_AutoScanning,precision,0,0.0,0.0,0.0,0.0
C3_vs_C2_policy_only,C3_PolicyOnly,C2_AutoScanning,auto_remediation_rate,0,0.0,0.0,0.0,0.0
C3_vs_C2_policy_only,C3_PolicyOnly,C2_AutoScanning,pipeline_success,0,0.0,0.0,0.0,0.0
C4_vs_C2_agents_only,C4_AgentsOnly,C2_AutoScanning,pipeline_time_seconds,0,0.0,0.0,0.0,0.0
C4_vs_C2_agents_only,C4_AgentsOnly,C2_AutoScanning,finding_count_residual,0,0.0,0.0,0.0,0.0
C4_vs_C2_agents_only,C4_AgentsOnly,C2_AutoScanning,recall,0,0.0,0.0,0.0,0.0
C4_vs_C2_agents_only,C4_AgentsOnly,C2_AutoScanning,precision,0,0.0,0.0,0.0,0.0
C4_vs_C2_agents_only,C4_AgentsOnly,C2_AutoScanning,auto_remediation_rate,0,0.0,0.0,0.0,0.0
C4_vs_C2_agents_only,C4_AgentsOnly,C2_AutoScanning,pipeline_success,0,0.0,0.0,0.0,0.0
C5_vs_C4_policy_after_agents,C5_SecFlowOps,C4_AgentsOnly,pipeline_time_seconds,0,0.0,0.0,0.0,0.0
C5_vs_C4_policy_after_agents,C5_SecFlowOps,C4_AgentsOnly,finding_count_residual,0,0.0,0.0,0.0,0.0
C5_vs_C4_policy_after_agents,C5_SecFlowOps,C4_AgentsOnly,recall,0,0.0,0.0,0.0,0.0
C5_vs_C4_policy_after_agents,C5_SecFlowOps,C4_AgentsOnly,precision,0,0.0,0.0,0.0,0.0
C5_vs_C4_policy_after_agents,C5_SecFlowOps,C4_AgentsOnly,auto_remediation_rate,0,0.0,0.0,0.0,0.0
C5_vs_C4_policy_after_agents,C5_SecFlowOps,C4_AgentsOnly,pipeline_success,0,0.0,0.0,0.0,0.0
C5_vs_C3_agents_before_policy,C5_SecFlowOps,C3_PolicyOnly,pipeline_time_seconds,0,0.0,0.0,0.0,0.0
C5_vs_C3_agents_before_policy,C5_SecFlowOps,C3_PolicyOnly,finding_count_residual,0,0.0,0.0,0.0,0.0
C5_vs_C3_agents_before_policy,C5_SecFlowOps,C3_PolicyOnly,recall,0,0.0,0.0,0.0,0.0
C5_vs_C3_agents_before_policy,C5_SecFlowOps,C3_PolicyOnly,precision,0,0.0,0.0,0.0,0.0
C5_vs_C3_agents_before_policy,C5_SecFlowOps,C3_PolicyOnly,auto_remediation_rate,0,0.0,0.0,0.0,0.0
C5_vs_C3_agents_before_policy,C5_SecFlowOps,C3_PolicyOnly,pipeline_success,0,0.0,0.0,0.0,0.0
C5_vs_C0_full_over_build,C5_SecFlowOps,C0_BuildOnly,pipeline_time_seconds,0,0.0,0.0,0.0,0.0
C5_vs_C0_full_over_build,C5_SecFlowOps,C0_BuildOnly,finding_count_residual,0,0.0,0.0,0.0,0.0
C5_vs_C0_full_over_build,C5_SecFlowOps,C0_BuildOnly,recall,0,0.0,0.0,0.0,0.0
C5_vs_C0_full_over_build,C5_SecFlowOps,C0_BuildOnly,precision,0,0.0,0.0,0.0,0.0
C5_vs_C0_full_over_build,C5_SecFlowOps,C0_BuildOnly,auto_remediation_rate,0,0.0,0.0,0.0,0.0
C5_vs_C0_full_over_build,C5_SecFlowOps,C0_BuildOnly,pipeline_success,0,0.0,0.0,0.0,0.0
