run_id,campaign_id,configuration,repo,scenario,repetition,stage,finding_id,fingerprint,tool,category,severity,cvss,file,cwe,cve,ground_truth_id,is_ground_truth,is_false_positive,remediated,remediation_method
20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_matched,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:trivy:misconfig:DS-0026:Dockerfile:None,4a313b570c6e3b18baf982ee,trivy,iac,low,2.5,Dockerfile,,,,False,,False,none
20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_matched,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:trivy:misconfig:KSV-0001:k8s/deployment.yaml:16,0ebc2ff14f12a67d561767b2,trivy,iac,medium,5.5,k8s/deployment.yaml,,,,False,,False,none
20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_matched,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:trivy:misconfig:KSV-0003:k8s/deployment.yaml:16,a7060e9bead081c206730d93,trivy,iac,low,2.5,k8s/deployment.yaml,,,,False,,False,none
20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_matched,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:trivy:misconfig:KSV-0004:k8s/deployment.yaml:16,4dccea9be0bac16d7c868022,trivy,iac,low,2.5,k8s/deployment.yaml,,,,False,,False,none
20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_matched,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:trivy:misconfig:KSV-0011:k8s/deployment.yaml:16,274492813d1ca43404056166,trivy,iac,low,2.5,k8s/deployment.yaml,,,,False,,False,none
20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_matched,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:trivy:misconfig:KSV-0013:k8s/deployment.yaml:16,f0053b40197ae2ae5dabce52,trivy,iac,medium,5.5,k8s/deployment.yaml,,,,False,,False,none
20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_matched,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:trivy:misconfig:KSV-0014:k8s/deployment.yaml:16,13696cbfb5b6faf5746fa01a,trivy,iac,high,8.0,k8s/deployment.yaml,,,,False,,False,none
20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_matched,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:trivy:misconfig:KSV-0015:k8s/deployment.yaml:16,3159818e5330fec3e38648d0,trivy,iac,low,2.5,k8s/deployment.yaml,,,,False,,False,none
20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_matched,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:trivy:misconfig:KSV-0016:k8s/deployment.yaml:16,234dea690ac621276b76c6a1,trivy,iac,low,2.5,k8s/deployment.yaml,,,,False,,False,none
20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_matched,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000805636362Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:trivy:misconfig:KSV-0018:k8s/deployment.yaml:16,e7060515fbfde2c5585c21d0,trivy,iac,low,2.5,k8s/deployment.yaml,,,,False,,False,none
